"id","first_name","last_name","email","password"
1,"RJ","Salamanca","rjs@test.com","123456"
2,"Eli","Zhang","eliz@test.com","654321"
3,"rj","s","lol@lol.com","$2a$10$OODJOq8T8qdRCusLEIzoVONkTifcFRUhpe2A49k5n//hq5Djx.sAa"
4,"fred","f","lol@lol.com","$2a$10$ORoIjBWBJWM1/8I1C4tEY.Vqh4BU5.9MIj5S5aFMobk6PON/.SW.O"
5,"fred","f","lol@lol.com","$2a$10$G.M2Up/rpq7ecUr3Ynyi2eKJkg4RU8ss9LtaI2HNigBgY4HOQSpxa"
6,"elii","zhang","ez@dc.com","$2a$10$eGgOsFC2G2FciLg.aB7ROOZZmY7b1NixtHWyk.I7w/.CN.YlQRBKK"
7,"RJ","Salamanca","123@gmail.com","$2a$10$tkgOrKqin5R6avK6C9JwaeR1nDEkcKYHmasJtB8mXFWfUv7TZD1Hu"
8,"RJ","Salamanca","1@1.com","$2a$10$NV4sm2S38nBsOgmRuQ6XkO35eGSO95ivf8zbBD1K3ftVIwYiocz4G"
9,"RJ","Salamanca","123123123@iog.com","$2a$10$ffRuvEVyj7FN9ETvJR9aVuvsdRd.8lZndNCkjR7Q1W/HJki7EcwSG"
10,"RJ","Salamanca","q@q.c","$2a$10$X1W4QELD3KuCNG5k1.Mlwee.H4ABDYNOTR3ula9auym0t8yeE3Lee"
11,"log","in","1","$2a$10$5VnIGkvEz4/V0qhk2cNX3uEcsKaBezK05proH.vdsSn.ULjy4iBTG"
